trucks_count 4
drones_count 4
customers 100
depot 35 35
Coordinate X         Coordinate Y         Dronable Demand
41                   49                   1        10
35                   17                   1        7
55                   45                   1        13
55                   20                   1        19
15                   30                   1        26
25                   30                   1        3
20                   50                   1        5
10                   43                   1        9
55                   60                   1        16
30                   60                   1        16
20                   65                   1        12
50                   35                   1        19
30                   25                   1        23
15                   10                   1        20
30                   5                    1        8
10                   20                   1        19
5                    30                   1        2
20                   40                   1        12
15                   60                   1        17
45                   65                   1        9
45                   20                   1        11
45                   10                   1        18
55                   5                    1        29
65                   35                   1        3
65                   20                   1        6
45                   30                   1        17
35                   40                   1        16
41                   37                   1        16
64                   42                   1        9
40                   60                   1        21
31                   52                   1        27
35                   69                   1        23
53                   52                   1        11
65                   55                   1        14
63                   65                   1        8
2                    60                   1        5
20                   20                   1        8
5                    5                    1        16
60                   12                   1        31
40                   25                   1        9
42                   7                    1        5
24                   12                   1        5
23                   3                    1        7
11                   14                   1        18
6                    38                   1        16
2                    48                   1        1
8                    56                   1        27
13                   52                   1        36
6                    68                   1        30
47                   47                   1        13
49                   58                   1        10
27                   43                   1        9
37                   31                   1        14
57                   29                   1        18
63                   23                   1        2
53                   12                   1        6
32                   12                   1        7
36                   26                   1        18
21                   24                   1        28
17                   34                   1        3
12                   24                   1        13
24                   58                   1        19
27                   69                   1        10
15                   77                   1        9
62                   77                   1        20
49                   73                   1        25
67                   5                    1        25
56                   39                   1        36
37                   47                   1        6
37                   56                   1        5
57                   68                   1        15
47                   16                   1        25
44                   17                   1        9
46                   13                   1        8
49                   11                   1        18
49                   42                   1        13
53                   43                   1        14
61                   52                   1        3
57                   48                   1        23
56                   37                   1        6
55                   54                   1        26
15                   47                   1        16
14                   37                   1        11
11                   31                   1        7
16                   22                   1        41
4                    18                   1        35
28                   18                   1        26
26                   52                   1        9
26                   35                   1        15
31                   67                   1        3
15                   19                   1        1
22                   22                   1        2
18                   24                   1        22
26                   27                   1        27
25                   24                   1        20
22                   27                   1        11
25                   21                   1        12
19                   21                   1        10
20                   26                   1        9
18                   18                   1        17
